client_id,client_technical_level,onboarding_owner_defined,founder_involved,docs_provided,repeat_questions_count,onboarding_duration_days,time_to_first_value_days,satisfaction_score
C048,High,No,No,No,5,21,27,4.1
C049,Low,No,Yes,No,7,24,32,3.0
C050,Low,No,Yes,No,1,24,25,3.9
C051,Low,No,Yes,No,9,19,29,2.8
C052,Medium,Yes,No,Yes,2,18,20,5.0
C053,Medium,Yes,No,Yes,0,10,10,4.9
C054,Low,No,Yes,No,3,24,27,3.7
C055,High,No,Yes,Yes,2,28,30,5.0
C056,Medium,Yes,No,Yes,1,19,20,5.0
C057,Medium,No,Yes,No,6,26,33,4.1
C058,Medium,No,Yes,Yes,3,25,28,4.9
C059,Medium,No,Yes,No,1,19,20,4.0
C060,High,Yes,No,No,6,23,30,4.3
C061,Low,Yes,No,Yes,3,9,12,4.9
C062,Low,No,Yes,Yes,2,29,31,5.0
C063,Low,Yes,No,Yes,0,13,13,5.0
C064,Low,No,Yes,No,10,18,30,3.2
C065,Low,Yes,No,Yes,3,12,15,5.0
C066,Medium,No,No,No,5,18,24,3.9
C067,Low,No,Yes,Yes,6,27,34,4.8
C068,Medium,No,Yes,Yes,2,24,26,5.0
C069,Low,No,Yes,No,7,24,32,3.1
C070,Medium,No,Yes,No,5,24,30,3.7
C071,Low,No,No,Yes,1,19,20,4.9
C072,Low,Yes,No,Yes,2,9,11,4.9
C073,Low,No,No,No,5,11,17,3.9
C074,High,Yes,No,Yes,1,11,12,5.0
C075,Medium,No,No,No,6,12,19,3.9
C076,High,No,Yes,No,5,32,38,3.9
C077,Low,No,Yes,Yes,1,18,19,4.8
C078,Low,No,Yes,No,3,28,31,3.9
C079,Medium,Yes,No,Yes,1,20,21,5.0
C080,Low,No,Yes,No,4,17,21,4.0
C081,Low,Yes,No,No,5,12,18,3.8
C082,Medium,No,Yes,Yes,3,21,24,5.0
C083,Low,No,Yes,No,3,22,25,4.2
C084,Low,No,Yes,No,3,24,27,3.7
C085,Medium,Yes,No,No,8,16,25,3.1
C086,Low,No,Yes,No,6,27,34,3.6
C087,High,Yes,No,Yes,4,9,13,5.0
C088,High,No,No,No,7,44,52,3.0
C089,Medium,Yes,No,Yes,2,26,28,5.0
C090,High,No,Yes,No,6,28,35,4.0
C091,Medium,Yes,No,Yes,2,17,19,5.0
C092,Low,Yes,No,Yes,1,13,14,5.0
C093,Low,No,Yes,No,5,19,25,4.3
C094,Medium,No,Yes,No,6,32,39,4.4
C095,Medium,No,Yes,No,5,18,24,4.4
C096,High,No,Yes,Yes,3,26,29,5.0
C097,High,No,Yes,No,4,15,19,4.3
C098,Low,Yes,No,No,5,25,31,3.7
C099,High,No,Yes,No,10,22,34,3.2
C100,Medium,No,Yes,Yes,2,24,26,4.9
C101,Medium,Yes,No,No,3,30,33,4.1
C102,Low,No,Yes,No,1,19,20,4.1
C103,High,Yes,No,No,7,20,28,3.4
C104,High,No,Yes,No,5,23,29,4.4
C105,Low,No,Yes,No,4,18,22,3.9
C106,High,No,Yes,No,5,20,26,4.1
C107,Medium,No,Yes,Yes,0,34,34,5.0
C108,Medium,Yes,No,Yes,4,12,16,4.8
C109,Medium,Yes,No,Yes,2,31,33,4.7
C110,Medium,No,Yes,No,4,24,28,3.8
C111,High,Yes,No,Yes,3,11,14,4.7
C112,Low,Yes,No,Yes,1,15,16,5.0
C113,High,Yes,No,Yes,1,15,16,5.0
C114,Low,No,Yes,No,9,21,31,2.6
C115,Low,Yes,No,No,5,12,18,4.1
C116,Low,No,Yes,Yes,1,24,25,5.0
C117,Low,No,Yes,No,3,24,27,4.0
C118,Medium,No,No,No,7,17,25,3.3
C119,Low,Yes,No,No,3,11,14,4.0
C120,Low,No,Yes,No,2,16,18,3.8
C121,High,No,Yes,No,7,25,33,3.0
C122,High,No,Yes,No,4,22,26,3.8
C123,Low,Yes,No,Yes,3,15,18,5.0
C124,Medium,No,Yes,No,3,26,29,3.7
C125,Low,No,Yes,Yes,4,22,26,5.0
C126,High,No,Yes,No,8,17,26,3.3
C127,Medium,No,Yes,No,8,22,31,3.1
C128,Medium,No,Yes,No,3,28,31,4.2
C129,Medium,No,No,No,4,17,21,4.0
C130,Medium,No,Yes,No,3,27,30,4.3
C131,Low,Yes,No,Yes,1,25,26,5.0
C132,Medium,Yes,No,No,3,22,25,4.2
C133,Low,Yes,No,No,5,12,18,3.6
C134,Medium,No,Yes,No,9,18,28,3.1
C135,Medium,No,Yes,No,4,28,32,3.9
C136,Medium,No,No,Yes,2,20,22,4.6
C137,Low,No,Yes,No,4,22,26,4.1
C138,Low,No,Yes,Yes,2,25,27,5.0
C139,Low,Yes,No,Yes,3,15,18,5.0
C140,Low,No,Yes,No,2,25,27,3.9
C141,Low,No,No,No,2,23,25,4.1
C142,Medium,Yes,No,Yes,0,16,16,4.9
C143,Low,No,Yes,No,9,24,34,3.1
C144,Medium,No,Yes,Yes,2,25,27,5.0
C145,Medium,No,Yes,No,5,18,24,3.9
C146,Low,Yes,No,Yes,4,20,24,4.8
C147,High,Yes,No,Yes,2,15,17,5.0
C148,Low,No,Yes,No,2,21,23,4.2
C149,Low,No,No,No,8,17,26,3.3
C150,Medium,No,Yes,No,9,15,25,2.9
C151,Low,No,Yes,Yes,1,23,24,4.9
C152,Low,No,Yes,No,4,28,32,3.8
C153,Medium,No,Yes,No,4,25,29,3.6
C154,Low,No,Yes,Yes,0,16,16,5.0
C155,High,No,No,No,4,12,16,4.0
C156,High,No,Yes,No,6,27,34,3.8
C157,High,No,Yes,No,3,24,27,3.9
C158,Medium,Yes,No,Yes,3,13,16,4.8
C159,High,No,No,No,6,17,24,3.8
C160,Medium,No,Yes,No,11,26,39,2.7
C161,Medium,Yes,No,Yes,2,16,18,4.8
C162,Medium,No,Yes,No,4,18,22,4.4
C163,Low,Yes,No,Yes,3,13,16,5.0
C164,Low,Yes,No,Yes,0,15,15,5.0
C165,Low,No,Yes,No,5,27,33,3.8
C166,High,No,Yes,Yes,4,19,23,4.9
C167,Low,Yes,No,Yes,5,15,21,4.9
C168,High,Yes,No,Yes,1,24,25,4.7
C169,Medium,No,Yes,No,8,21,30,2.6
C170,High,No,Yes,Yes,0,23,23,5.0
C171,High,Yes,No,Yes,1,16,17,5.0
C172,High,Yes,No,Yes,2,15,17,5.0
C173,Low,No,Yes,No,8,33,42,2.7
C174,Medium,Yes,No,Yes,3,9,12,4.8
C175,Low,No,Yes,No,5,28,34,3.9
C176,Low,No,Yes,Yes,3,30,33,5.0
C177,Low,No,Yes,Yes,1,21,22,4.7
C178,Medium,Yes,No,Yes,4,13,17,4.8
C179,Low,No,Yes,No,9,36,46,3.0
C180,Low,No,Yes,No,5,22,28,4.2
C181,High,No,Yes,No,8,24,33,3.0
C182,Medium,No,Yes,No,3,30,33,4.1
C183,Low,Yes,No,No,5,13,19,4.0
C184,Medium,No,Yes,No,3,19,22,4.1
C185,Low,Yes,No,No,5,15,21,3.6
C186,Low,No,No,No,5,15,21,4.0
C187,Medium,No,Yes,No,3,34,37,3.7
C188,Medium,No,No,No,5,17,23,3.8
C189,Low,Yes,No,Yes,0,11,11,4.8
C190,Medium,Yes,No,Yes,1,16,17,5.0
C191,High,Yes,No,Yes,2,16,18,5.0
C192,Medium,No,Yes,Yes,3,21,24,5.0
C193,Low,No,Yes,No,9,32,42,2.8
C194,Low,No,No,Yes,2,11,13,4.6
C195,Low,Yes,No,No,5,9,15,3.6
C196,Low,Yes,No,Yes,3,15,18,4.8
C197,High,Yes,No,No,6,12,19,3.9
C198,Medium,No,Yes,Yes,4,21,25,5.0
C199,High,Yes,No,No,4,9,13,3.7
C200,Low,No,Yes,No,4,32,36,3.7
C201,High,Yes,No,Yes,1,15,16,5.0
C202,Low,Yes,No,No,8,16,25,3.1
C203,Low,Yes,No,Yes,2,18,20,4.9
C204,Medium,No,Yes,No,6,25,32,3.7
C205,Low,Yes,No,Yes,2,14,16,5.0
C206,Low,No,Yes,No,4,25,29,3.7
C207,Medium,Yes,No,No,8,23,32,3.2
C208,High,No,Yes,Yes,2,18,20,4.6
C209,Low,Yes,No,No,6,29,36,4.3
C210,Medium,No,Yes,Yes,1,18,19,4.8
C211,High,No,Yes,No,3,18,21,4.4
C212,High,No,Yes,No,5,22,28,4.2
C213,High,No,Yes,No,8,26,35,3.0
C214,Medium,No,Yes,No,2,19,21,4.2
C215,Low,Yes,No,No,4,20,24,4.3
C216,Medium,Yes,No,No,5,12,18,3.9
C217,Low,Yes,No,Yes,0,20,20,4.7
C218,High,No,Yes,Yes,3,23,26,4.8
C219,Low,Yes,No,No,2,17,19,3.8
C220,Medium,No,Yes,No,7,23,31,2.8
C221,Low,Yes,No,Yes,0,20,20,4.8
C222,Medium,Yes,No,Yes,1,10,11,4.6
C223,Medium,Yes,No,Yes,1,14,15,4.9
C224,High,Yes,No,No,5,11,17,3.9
C225,High,No,Yes,Yes,4,23,27,4.7
C226,Low,Yes,No,Yes,2,19,21,4.6
C227,Low,No,Yes,No,3,21,24,4.0
C228,Low,No,Yes,No,5,29,35,4.4
C229,Low,No,Yes,No,2,23,25,3.8
C230,High,Yes,No,Yes,1,14,15,5.0
C231,Low,No,Yes,Yes,4,23,27,5.0
C232,Low,Yes,No,No,4,17,21,3.9
C233,Low,Yes,No,Yes,3,22,25,5.0
C234,Low,Yes,No,Yes,5,15,21,5.0
C235,Low,No,Yes,No,4,24,28,4.1
C236,Low,No,Yes,No,10,21,33,2.9
C237,Low,No,Yes,No,4,21,25,3.7
C238,Low,Yes,No,Yes,5,17,23,4.9
C239,High,No,Yes,No,4,30,34,4.4
C240,High,No,No,No,5,17,23,4.0
C241,Low,Yes,No,Yes,2,13,15,5.0
C242,Medium,Yes,No,Yes,0,24,24,4.6
C243,High,Yes,No,No,4,9,13,3.6
C244,Low,Yes,No,Yes,3,10,13,4.8
C245,High,Yes,No,Yes,1,24,25,4.7
C246,Medium,Yes,No,Yes,3,16,19,4.9
C247,High,No,No,No,7,12,20,2.7
C248,High,No,Yes,No,7,21,29,2.7
C249,Medium,Yes,No,Yes,1,12,13,4.8
C250,Low,No,No,Yes,1,19,20,5.0
C251,High,No,Yes,No,2,33,35,4.4
C252,Medium,Yes,No,Yes,1,20,21,4.6
C253,Low,No,Yes,No,5,23,29,3.9
C254,High,No,Yes,No,5,15,21,3.8
C255,Medium,Yes,No,Yes,3,10,13,4.7
C256,Medium,No,Yes,Yes,1,32,33,5.0
C257,Low,No,No,No,4,15,19,3.9
C258,Low,No,Yes,No,6,30,37,3.8
C259,Low,Yes,No,Yes,1,19,20,4.9
C260,High,No,Yes,No,3,38,41,4.1
C261,Medium,No,Yes,No,5,33,39,3.7
C262,Medium,No,Yes,Yes,1,22,23,4.8
C263,Medium,Yes,No,Yes,3,19,22,4.7
C264,Low,No,Yes,Yes,3,26,29,5.0
C265,Medium,No,Yes,Yes,1,21,22,4.8
C266,High,Yes,No,No,5,27,33,3.9
C267,High,Yes,No,Yes,1,17,18,4.9
C268,High,Yes,No,No,3,12,15,4.1
C269,Medium,Yes,No,Yes,1,15,16,4.9
C270,Low,Yes,No,No,11,14,27,2.8
C271,High,Yes,No,No,6,17,24,4.1
C272,Low,No,Yes,No,8,24,33,2.8
C273,Low,No,Yes,No,2,23,25,4.2
C274,High,No,No,Yes,3,10,13,5.0
C275,Medium,Yes,No,No,7,11,19,2.8
C276,High,No,No,No,2,19,21,3.7
C277,Medium,Yes,No,Yes,1,15,16,5.0
C278,Low,No,Yes,No,6,24,31,3.9
C279,Low,Yes,No,No,11,15,28,3.1
C280,Low,Yes,No,Yes,2,13,15,5.0
C281,High,No,Yes,No,5,17,23,4.3
C282,Low,Yes,No,Yes,3,17,20,4.7
C283,Low,No,No,Yes,0,14,14,4.7
C284,Medium,No,Yes,No,6,22,29,3.7
C285,Low,No,Yes,No,7,18,26,3.2
C286,Medium,No,Yes,Yes,3,29,32,5.0
C287,High,No,Yes,No,9,29,39,3.2
C288,Medium,No,Yes,Yes,3,24,27,5.0
C289,Medium,Yes,No,Yes,2,18,20,4.8
C290,Medium,No,Yes,No,6,23,30,4.3
C291,Medium,No,Yes,No,8,37,46,3.2
C292,Medium,Yes,No,Yes,2,15,17,4.9
C293,Medium,No,Yes,No,1,23,24,3.6
C294,High,No,Yes,No,2,26,28,4.1
C295,Low,No,Yes,No,10,25,37,3.1
C296,Low,No,Yes,No,4,21,25,4.2
C297,Medium,No,No,Yes,0,12,12,5.0
C298,High,No,No,No,8,11,20,2.7
C299,Medium,No,No,No,7,18,26,3.1
C300,High,No,No,Yes,1,17,18,5.0
C301,High,Yes,No,Yes,2,17,19,4.8
C302,Low,Yes,No,Yes,4,16,20,4.8
C303,Low,Yes,No,Yes,2,9,11,5.0
C304,Medium,Yes,No,No,5,18,24,3.8
C305,Low,Yes,No,Yes,4,11,15,5.0
C306,Medium,No,Yes,No,2,20,22,4.4
C307,Low,No,Yes,No,8,27,36,2.7
C308,Medium,No,Yes,No,9,21,31,3.0
C309,Low,No,Yes,No,6,26,33,3.8
C310,Low,Yes,No,No,2,12,14,3.8
C311,Low,Yes,No,No,6,17,24,3.9
C312,Medium,No,Yes,No,5,23,29,4.2
C313,Low,No,Yes,No,2,19,21,4.0
C314,Medium,No,Yes,No,8,25,34,2.9
C315,Medium,No,Yes,Yes,1,22,23,4.6
C316,Medium,No,Yes,Yes,2,30,32,4.9
C317,Medium,No,Yes,No,6,37,44,4.4
C318,Medium,Yes,No,Yes,2,28,30,5.0
C319,Medium,Yes,No,Yes,6,9,16,4.8
C320,Medium,No,Yes,No,10,15,27,3.1
C321,High,Yes,No,No,2,9,11,3.8
C322,Low,No,Yes,No,4,33,37,3.7
C323,Medium,No,Yes,No,6,30,37,4.2
C324,Medium,Yes,No,Yes,1,14,15,4.9
C325,Low,Yes,No,Yes,1,18,19,4.7
C326,Medium,No,Yes,Yes,2,18,20,4.7
C327,High,Yes,No,No,8,12,21,2.9
C328,Medium,No,Yes,Yes,2,25,27,4.8
C329,Low,No,Yes,Yes,2,31,33,5.0
C330,Medium,Yes,No,Yes,0,12,12,5.0
C331,Low,Yes,No,Yes,1,12,13,4.8
C332,Medium,No,Yes,No,12,32,46,3.1
C333,Low,No,Yes,Yes,3,19,22,5.0
C334,Low,Yes,No,Yes,0,13,13,4.9
C335,Low,Yes,No,No,8,11,20,2.8
C336,Low,Yes,No,No,3,12,15,4.0
C337,Medium,No,Yes,No,3,27,30,4.3
C338,High,Yes,No,Yes,3,17,20,4.6
C339,High,No,No,No,5,18,24,4.1
C340,Medium,Yes,No,Yes,1,16,17,5.0
C341,Low,Yes,No,No,1,13,14,4.3
C342,Low,Yes,No,No,7,14,22,2.7
C343,Low,Yes,No,Yes,2,13,15,5.0
C344,Low,No,Yes,No,6,21,28,4.1
C345,Medium,Yes,No,Yes,1,9,10,5.0
C346,High,No,Yes,No,8,23,32,2.8
C347,Low,Yes,No,Yes,1,17,18,5.0
C348,Low,Yes,No,No,3,16,19,4.3
C349,Low,No,Yes,No,1,18,19,4.0
C350,High,Yes,No,Yes,2,12,14,5.0
C351,Low,No,Yes,No,2,19,21,3.6
C352,Medium,No,Yes,Yes,3,15,18,4.9
C353,Medium,No,Yes,No,4,16,20,4.3
C354,Medium,No,Yes,No,4,22,26,4.0
C355,Low,Yes,No,Yes,3,20,23,5.0
C356,Low,Yes,No,No,2,21,23,4.1
C357,Medium,Yes,No,Yes,2,10,12,5.0
C358,Low,Yes,No,No,8,16,25,3.1
C359,Medium,Yes,No,No,8,10,19,3.0
C360,Medium,No,Yes,Yes,1,27,28,5.0
C361,Low,Yes,No,Yes,2,13,15,5.0
C362,Medium,Yes,No,Yes,2,21,23,5.0
C363,Medium,Yes,No,Yes,1,17,18,4.9
C364,High,No,Yes,No,6,27,34,4.2
C365,Low,No,Yes,No,3,23,26,3.9
C366,Low,Yes,No,No,0,19,19,4.0
C367,Medium,Yes,No,No,3,12,15,4.1
C368,Low,Yes,No,Yes,1,12,13,5.0
C369,Low,Yes,No,Yes,0,10,10,4.8
C370,Medium,No,Yes,Yes,2,28,30,5.0
C371,Medium,Yes,No,Yes,1,14,15,5.0
C372,High,No,Yes,No,6,45,52,3.6
C373,High,Yes,No,No,2,16,18,4.1
C374,Low,No,Yes,Yes,0,29,29,5.0
C375,High,No,Yes,No,12,24,38,2.7
C376,Low,No,Yes,No,3,32,35,3.8
C377,Medium,Yes,No,No,4,9,13,4.0
C378,Medium,No,Yes,Yes,0,33,33,5.0
C379,High,No,Yes,No,4,23,27,3.8
C380,Low,No,Yes,No,4,32,36,3.9
C381,Medium,No,Yes,No,7,28,36,3.0
C382,Medium,No,Yes,Yes,3,28,31,4.8
C383,Low,No,No,Yes,3,16,19,5.0
C384,Low,Yes,No,No,6,17,24,3.7
C385,Low,No,No,No,5,12,18,4.1
C386,Low,No,Yes,No,4,25,29,4.2
C387,Low,Yes,No,Yes,0,9,9,4.8
C388,Low,No,Yes,Yes,0,25,25,5.0
C389,Low,No,No,Yes,1,17,18,4.9
C390,Low,Yes,No,Yes,2,20,22,5.0
C391,High,No,Yes,No,2,25,27,4.0
C392,Medium,No,Yes,Yes,0,23,23,4.8
C393,Low,No,No,Yes,4,18,22,5.0
C394,Medium,No,No,No,7,24,32,2.6
C395,Low,No,Yes,No,5,22,28,4.2
C396,Medium,No,No,No,5,17,23,4.1
C397,Medium,Yes,No,Yes,1,10,11,5.0
C398,High,No,Yes,No,5,27,33,4.3
C399,High,No,Yes,No,6,24,31,3.6
C400,Low,Yes,No,Yes,3,19,22,4.7
C401,Medium,No,Yes,Yes,2,23,25,5.0
C402,Low,Yes,No,No,5,19,25,3.7
C403,High,No,Yes,No,3,24,27,3.9
C404,High,Yes,No,Yes,2,9,11,4.6
C405,Medium,No,Yes,No,2,27,29,3.9
C406,Low,Yes,No,Yes,3,15,18,4.8
C407,High,No,Yes,No,4,16,20,3.6
C408,Low,No,Yes,No,0,26,26,3.7
C409,Low,Yes,No,No,3,16,19,4.1
C410,Medium,Yes,No,Yes,2,13,15,5.0
C411,Low,No,Yes,No,3,23,26,4.4
C412,Medium,No,Yes,Yes,3,19,22,4.6
C413,Low,Yes,No,No,6,15,22,3.8
C414,Low,Yes,No,No,13,21,36,2.8
C415,High,No,Yes,No,5,24,30,4.2
C416,High,No,Yes,No,4,17,21,4.2
C417,Medium,No,Yes,No,4,28,32,3.6
C418,Low,Yes,No,No,7,9,17,3.4
C419,High,No,Yes,No,12,26,40,3.2
C420,Low,No,Yes,No,3,25,28,3.6
C421,Medium,Yes,No,Yes,0,13,13,4.7
C422,High,Yes,No,Yes,0,10,10,4.7
C423,Medium,No,Yes,Yes,1,26,27,5.0
C424,Low,No,Yes,No,5,29,35,3.8
C425,Medium,No,Yes,No,12,25,39,3.0
C426,Low,No,Yes,Yes,0,20,20,5.0
C427,Medium,No,Yes,Yes,2,40,42,5.0
C428,High,No,Yes,No,7,28,36,2.9
C429,Low,No,No,No,8,18,27,2.9
C430,Low,No,Yes,Yes,1,31,32,4.8
C431,High,No,Yes,Yes,1,23,24,5.0
C432,Medium,No,Yes,No,6,27,34,4.1
C433,Medium,Yes,No,Yes,6,17,24,4.6
C434,Low,No,Yes,Yes,3,22,25,5.0
C435,Low,No,Yes,No,7,21,29,2.7
C436,Low,No,Yes,Yes,1,27,28,5.0
C437,Medium,No,Yes,Yes,4,19,23,5.0
C438,Medium,No,Yes,Yes,3,22,25,5.0
C439,High,Yes,No,Yes,4,10,14,5.0
C440,Medium,No,Yes,Yes,2,21,23,4.7
C441,Low,Yes,No,Yes,1,15,16,4.6
C442,High,Yes,No,Yes,0,11,11,5.0
C443,Low,Yes,No,No,5,19,25,4.0
C444,Medium,No,Yes,No,5,17,23,4.3
C445,Low,No,Yes,No,2,19,21,3.6
C446,Medium,No,Yes,No,8,25,34,2.8
C447,Medium,No,Yes,No,5,20,26,4.3
C448,Low,No,Yes,No,3,19,22,3.9
C449,Medium,Yes,No,No,9,21,31,3.0
C450,Medium,Yes,No,Yes,3,16,19,5.0
C451,Medium,Yes,No,No,5,23,29,3.8
C452,Low,Yes,No,No,6,17,24,3.8
C453,Low,Yes,No,No,0,13,13,3.6
C454,Medium,Yes,No,Yes,2,10,12,4.7
C455,Low,Yes,No,No,4,12,16,4.2
C456,High,No,Yes,No,7,29,37,2.8
C457,Medium,Yes,No,No,4,20,24,3.9
C458,Low,Yes,No,Yes,3,12,15,5.0
C459,Low,No,No,Yes,2,9,11,5.0
C460,Medium,No,Yes,No,7,21,29,2.8
C461,Low,No,Yes,No,7,27,35,2.8
C462,Low,No,Yes,Yes,4,24,28,5.0
C463,High,No,Yes,No,4,30,34,4.0
C464,Medium,No,Yes,No,4,22,26,3.9
C465,Medium,Yes,No,Yes,2,14,16,5.0
C466,Medium,No,Yes,No,3,24,27,4.3
C467,Low,No,Yes,Yes,0,24,24,4.8
C468,Low,No,Yes,Yes,1,26,27,5.0
C469,Low,Yes,No,Yes,4,13,17,4.8
C470,Low,Yes,No,No,3,28,31,4.2
C471,Low,Yes,No,No,7,12,20,3.0
C472,Medium,Yes,No,Yes,1,11,12,5.0
C473,Low,No,Yes,No,5,21,27,3.8
C474,Medium,Yes,No,Yes,3,19,22,5.0
C475,Medium,No,Yes,No,5,24,30,3.7
C476,Medium,No,Yes,No,6,25,32,3.7
C477,Low,Yes,No,No,8,19,28,2.6
C478,Medium,No,No,No,1,19,20,4.1
C479,Low,No,No,No,3,11,14,3.6
C480,Low,No,No,No,10,9,21,3.1
C481,Low,No,No,No,11,18,31,2.6
C482,Medium,No,Yes,No,4,20,24,4.4
C483,Low,Yes,No,Yes,0,21,21,4.9
C484,Low,No,Yes,Yes,4,25,29,4.7
C485,Low,No,No,No,6,19,26,3.6
C486,Medium,No,Yes,No,1,18,19,4.2
C487,Medium,Yes,No,Yes,0,9,9,4.7
C488,Medium,No,No,Yes,2,10,12,5.0
C489,Medium,No,No,Yes,0,13,13,4.9
C490,Medium,Yes,No,No,7,10,18,2.8
C491,Low,Yes,No,Yes,0,14,14,4.7
C492,Low,No,Yes,No,10,23,35,3.1
C493,High,No,Yes,No,5,28,34,4.3
C494,Low,No,Yes,Yes,1,24,25,5.0
C495,Medium,Yes,No,Yes,3,16,19,5.0
C496,Medium,Yes,No,Yes,0,16,16,5.0
C497,Low,No,Yes,Yes,4,28,32,4.8
C498,Low,No,Yes,No,3,21,24,3.8
C499,Low,Yes,No,Yes,3,16,19,4.7
C500,Low,Yes,No,Yes,4,16,20,5.0
